user_id,session_time,clicks,page_views,conversion,device_type,signup_source,country,click_rate
50,21.72,10,12,0,Android,Organic,FR,0.83
51,8.26,12,13,0,iOS,Paid Ads,IN,0.92
52,10.99,10,14,0,Desktop,Paid Ads,FR,0.71
53,31.5,8,17,0,iOS,Organic,IN,0.47
54,21.28,4,11,0,Android,Referral,US,0.36
55,17.95,6,13,0,Desktop,Paid Ads,IN,0.46
56,32.56,7,14,0,Android,Paid Ads,US,0.5
57,9.15,5,14,0,Desktop,Referral,US,0.36
58,12.78,12,15,0,Desktop,Paid Ads,DE,0.8
59,20.79,16,12,0,Android,Organic,US,1.33
60,20.27,10,15,0,iOS,Paid Ads,IN,0.67
61,4.26,14,12,1,Android,Paid Ads,DE,1.17
62,11.8,13,7,1,Android,Referral,DE,1.86
63,14.67,13,10,0,iOS,Organic,US,1.3
64,22.45,15,12,0,iOS,Referral,FR,1.25
65,20.22,13,9,0,Desktop,Paid Ads,FR,1.44
66,15.72,11,15,1,iOS,Paid Ads,DE,0.73
67,2.14,12,7,0,Android,Referral,US,1.71
68,16.33,4,10,0,Desktop,Referral,FR,0.4
69,17.46,8,17,0,Desktop,Referral,US,0.47
70,72.98,13,18,0,Android,Organic,US,0.72
71,14.3,10,21,0,Desktop,Paid Ads,DE,0.48
72,20.87,12,14,1,Android,Referral,DE,0.86
73,36.2,11,11,0,Desktop,Paid Ads,BR,1.0
74,28.38,12,14,0,Android,Organic,FR,0.86
75,42.13,10,8,1,Android,Organic,FR,1.25
76,4.33,12,14,1,Android,Organic,FR,0.86
77,6.87,9,7,0,iOS,Organic,IN,1.29
78,10.37,11,13,0,Android,Paid Ads,US,0.85
79,3.59,12,12,0,Android,Organic,DE,1.0
80,17.57,9,11,1,iOS,Organic,FR,0.82
81,7.39,7,11,0,Desktop,Referral,BR,0.64
82,45.75,11,11,1,Android,Organic,FR,1.0
83,8.46,6,16,0,Android,Referral,US,0.38
84,12.85,15,14,0,Android,Organic,US,1.07
85,29.53,7,17,0,Android,Organic,DE,0.41
86,5.29,10,14,0,Desktop,Referral,IN,0.71
87,3.34,14,10,0,Desktop,Organic,DE,1.4
88,19.17,10,14,0,iOS,Paid Ads,FR,0.71
89,20.25,11,10,0,Android,Paid Ads,BR,1.1
90,28.93,7,11,1,iOS,Organic,DE,0.64
91,24.35,8,10,0,iOS,Paid Ads,IN,0.8
92,20.8,9,5,1,Desktop,Referral,DE,1.8
93,9.34,4,12,0,iOS,Organic,US,0.33
94,19.85,10,16,0,iOS,Organic,FR,0.62
95,20.74,13,11,0,iOS,Referral,FR,1.18
96,9.04,7,11,0,Android,Referral,FR,0.64
97,54.22,12,11,1,Desktop,Referral,FR,1.09
98,23.56,6,13,0,iOS,Organic,FR,0.46
99,6.98,12,12,0,iOS,Referral,FR,1.0
100,29.03,10,10,0,Android,Referral,BR,1.0
101,32.45,13,15,0,iOS,Paid Ads,IN,0.87
102,22.58,14,24,0,iOS,Paid Ads,FR,0.58
103,13.7,5,15,1,Android,Organic,IN,0.33
104,8.71,16,9,1,Android,Paid Ads,FR,1.78
105,15.69,6,10,0,iOS,Paid Ads,DE,0.6
106,21.47,16,12,0,iOS,Referral,FR,1.33
107,16.84,10,11,0,iOS,Referral,US,0.91
108,43.36,18,10,0,Android,Paid Ads,BR,1.8
109,26.12,17,11,0,iOS,Paid Ads,DE,1.55
110,7.87,14,10,0,Android,Paid Ads,DE,1.4
111,6.31,10,9,0,Android,Organic,US,1.11
112,23.7,12,12,0,Android,Organic,FR,1.0
113,13.95,12,12,0,Android,Organic,BR,1.0
114,27.69,5,6,0,Android,Paid Ads,DE,0.83
115,23.55,9,9,0,Android,Paid Ads,BR,1.0
116,15.74,12,8,0,Android,Organic,DE,1.5
117,7.95,11,15,1,Android,Organic,FR,0.73
118,3.76,16,8,0,iOS,Paid Ads,DE,2.0
119,19.59,12,13,0,Android,Referral,DE,0.92
120,5.2,12,14,0,Android,Organic,IN,0.86
121,7.66,11,10,1,Desktop,Paid Ads,FR,1.1
122,18.73,9,17,0,Android,Paid Ads,US,0.53
123,17.43,13,5,0,iOS,Referral,US,2.6
124,5.84,9,11,0,Android,Paid Ads,FR,0.82
125,34.92,9,20,1,Android,Paid Ads,US,0.45
126,34.31,6,9,1,iOS,Organic,FR,0.67
127,24.24,9,14,0,iOS,Organic,US,0.64
128,24.22,12,9,1,Desktop,Referral,IN,1.33
129,24.24,9,12,1,iOS,Referral,US,0.75
130,32.27,9,11,1,Desktop,Paid Ads,DE,0.82
131,26.57,12,8,0,Android,Organic,FR,1.5
132,8.55,10,9,0,Android,Referral,BR,1.11
133,13.79,14,9,0,Android,Referral,BR,1.56
134,67.97,10,13,1,Android,Referral,FR,0.77
135,2.31,8,21,0,iOS,Paid Ads,IN,0.38
136,11.29,9,8,0,iOS,Organic,US,1.12
137,35.05,10,14,0,Android,Referral,IN,0.71
138,9.03,15,13,1,Desktop,Organic,BR,1.15
139,27.07,16,8,1,Desktop,Referral,FR,2.0
140,17.26,16,15,0,Android,Referral,FR,1.07
141,9.59,5,9,1,Android,Organic,IN,0.56
142,1.81,7,9,0,Android,Organic,IN,0.78
143,19.19,8,16,1,Android,Organic,US,0.5
144,8.39,10,6,0,Android,Paid Ads,DE,1.67
145,15.23,11,14,0,iOS,Referral,DE,0.79
146,24.07,8,10,1,Android,Paid Ads,US,0.8
147,30.53,6,11,0,Android,Organic,DE,0.55
148,11.26,12,20,1,Desktop,Referral,BR,0.6
149,9.58,10,10,0,iOS,Paid Ads,DE,1.0
150,5.11,5,9,0,Desktop,Referral,US,0.56
151,31.55,10,10,0,Android,Paid Ads,DE,1.0
152,61.82,10,9,0,Android,Organic,FR,1.11
153,33.86,11,18,0,iOS,Paid Ads,IN,0.61
154,38.96,14,12,0,Android,Referral,BR,1.17
155,9.1,7,3,0,Android,Referral,FR,2.33
156,23.08,9,10,0,iOS,Referral,FR,0.9
157,28.8,15,13,1,iOS,Referral,US,1.15
158,6.63,7,13,1,Android,Organic,IN,0.54
159,47.87,8,15,0,Android,Paid Ads,IN,0.53
160,4.18,9,10,1,Android,Organic,BR,0.9
161,43.06,5,19,0,Android,Organic,US,0.26
162,4.15,9,11,0,Android,Organic,BR,0.82
163,6.94,14,12,1,Android,Referral,DE,1.17
164,23.37,5,9,1,Android,Referral,FR,0.56
165,17.58,11,8,0,Desktop,Referral,BR,1.38
166,12.17,10,16,1,iOS,Paid Ads,FR,0.62
167,46.67,9,6,0,iOS,Referral,US,1.5
168,5.25,6,19,1,Android,Paid Ads,DE,0.32
169,14.78,9,11,0,Android,Referral,US,0.82
170,25.47,12,16,0,Android,Referral,DE,0.75
171,20.56,11,14,0,Android,Organic,DE,0.79
172,9.85,4,14,0,Android,Organic,FR,0.29
173,10.16,15,17,0,iOS,Organic,US,0.88
174,30.22,8,10,1,iOS,Paid Ads,US,0.8
175,31.19,9,3,0,iOS,Paid Ads,BR,3.0
176,20.96,10,15,0,Android,Referral,US,0.67
177,8.09,13,11,0,Desktop,Paid Ads,BR,1.18
178,10.43,10,9,0,Android,Referral,IN,1.11
179,16.4,11,10,0,Android,Paid Ads,IN,1.1
180,18.23,8,22,0,Android,Paid Ads,IN,0.36
181,24.77,12,14,0,iOS,Paid Ads,US,0.86
182,14.19,12,16,0,Desktop,Organic,US,0.75
183,29.76,4,10,0,Android,Paid Ads,BR,0.4
184,29.53,18,14,1,Desktop,Organic,DE,1.29
185,39.84,12,8,1,Desktop,Organic,BR,1.5
186,16.94,10,17,0,Android,Paid Ads,IN,0.59
187,21.21,9,11,0,Android,Referral,BR,0.82
188,15.04,8,14,0,Android,Referral,DE,0.57
189,8.18,7,12,0,Desktop,Referral,US,0.58
190,60.9,16,8,0,Android,Paid Ads,BR,2.0
191,36.53,14,4,0,iOS,Referral,IN,3.5
192,29.12,11,13,0,Android,Organic,IN,0.85
193,16.51,13,14,0,iOS,Referral,US,0.93
194,7.56,13,7,0,Android,Paid Ads,BR,1.86
195,32.69,12,12,1,iOS,Referral,DE,1.0
196,14.84,8,18,1,Desktop,Organic,US,0.44
197,22.59,9,14,0,Desktop,Paid Ads,BR,0.64
198,10.4,16,12,0,Desktop,Referral,FR,1.33
199,20.03,8,14,1,Android,Paid Ads,IN,0.57
200,10.94,9,16,1,iOS,Paid Ads,DE,0.56
201,11.3,14,15,0,Android,Paid Ads,DE,0.93
202,19.85,16,10,0,Android,Referral,DE,1.6
203,4.09,13,14,0,iOS,Paid Ads,IN,0.93
204,4.3,8,12,0,Android,Referral,BR,0.67
205,9.01,9,8,0,iOS,Organic,US,1.12
206,14.06,12,15,0,Desktop,Referral,BR,0.8
207,30.37,13,22,0,Android,Organic,US,0.59
208,14.69,10,9,0,iOS,Referral,DE,1.11
209,16.43,13,16,1,Android,Paid Ads,BR,0.81
210,13.21,10,22,0,Android,Referral,DE,0.45
211,21.19,6,12,0,Android,Paid Ads,FR,0.5
212,8.11,4,16,0,Desktop,Organic,DE,0.25
213,15.3,9,15,0,Desktop,Referral,DE,0.6
214,22.41,10,11,1,Desktop,Paid Ads,US,0.91
215,19.73,5,16,0,Desktop,Organic,FR,0.31
216,16.83,7,10,0,Android,Organic,DE,0.7
217,16.99,11,15,1,Android,Referral,DE,0.73
218,23.96,10,13,0,iOS,Organic,FR,0.77
219,62.78,7,10,1,Android,Paid Ads,FR,0.7
220,8.59,6,10,0,Android,Organic,BR,0.6
221,63.93,5,10,0,Android,Organic,US,0.5
222,8.26,4,11,0,iOS,Paid Ads,FR,0.36
223,1.54,11,15,0,iOS,Organic,FR,0.73
224,10.76,11,11,1,Android,Organic,IN,1.0
225,21.48,9,10,1,Android,Organic,FR,0.9
226,54.52,14,11,0,iOS,Organic,US,1.27
227,7.55,7,13,0,iOS,Paid Ads,DE,0.54
228,23.86,9,13,1,Android,Organic,DE,0.69
229,4.77,12,11,1,iOS,Paid Ads,DE,1.09
230,53.25,10,7,0,Android,Organic,DE,1.43
231,37.0,7,9,0,Android,Organic,IN,0.78
232,11.31,6,25,0,iOS,Organic,FR,0.24
233,40.97,7,12,1,iOS,Organic,DE,0.58
234,15.23,10,22,0,Android,Paid Ads,BR,0.45
235,38.3,10,11,0,iOS,Paid Ads,DE,0.91
236,16.73,14,14,1,iOS,Paid Ads,FR,1.0
237,17.28,10,10,0,iOS,Referral,DE,1.0
238,11.51,8,9,0,iOS,Organic,IN,0.89
239,26.07,10,12,0,iOS,Organic,US,0.83
240,18.27,9,10,0,Android,Paid Ads,US,0.9
241,24.23,17,6,0,Android,Referral,FR,2.83
242,3.67,8,20,0,Android,Organic,US,0.4
243,39.2,9,6,0,Android,Paid Ads,US,1.5
244,45.78,14,13,0,iOS,Organic,BR,1.08
245,18.21,15,9,1,iOS,Organic,FR,1.67
246,59.94,11,21,1,Android,Paid Ads,FR,0.52
247,51.15,11,14,0,Android,Paid Ads,US,0.79
248,26.46,10,13,0,Android,Organic,US,0.77
249,41.31,12,9,0,Android,Organic,US,1.33
250,34.41,12,7,0,iOS,Paid Ads,IN,1.71
251,2.71,5,19,0,Android,Organic,DE,0.26
252,13.42,4,17,0,iOS,Organic,IN,0.24
253,27.75,12,13,0,Desktop,Paid Ads,FR,0.92
254,47.77,8,14,0,Android,Organic,BR,0.57
255,4.44,13,9,0,Android,Organic,DE,1.44
256,2.93,7,20,0,Android,Referral,BR,0.35
257,15.96,5,16,0,iOS,Paid Ads,FR,0.31
258,1.69,13,7,0,iOS,Referral,FR,1.86
259,15.54,19,11,0,Android,Referral,BR,1.73
260,21.86,13,11,1,iOS,Referral,BR,1.18
261,7.24,9,11,1,Desktop,Organic,BR,0.82
262,15.87,6,13,0,Android,Organic,FR,0.46
263,32.29,13,9,0,Android,Referral,US,1.44
264,10.72,10,6,0,Desktop,Referral,BR,1.67
265,8.38,11,9,0,iOS,Referral,DE,1.22
266,15.32,12,9,0,Desktop,Organic,FR,1.33
267,6.56,11,11,1,iOS,Referral,IN,1.0
268,57.07,7,13,0,Desktop,Referral,IN,0.54
269,17.13,9,12,1,Android,Paid Ads,DE,0.75
270,9.17,7,13,0,iOS,Paid Ads,US,0.54
271,19.58,7,15,0,Desktop,Organic,BR,0.47
272,15.26,11,5,1,iOS,Paid Ads,FR,2.2
273,13.97,7,18,0,Android,Paid Ads,BR,0.39
274,10.71,10,12,0,Android,Paid Ads,FR,0.83
275,10.28,12,11,0,Android,Organic,IN,1.09
276,3.76,11,11,0,Android,Paid Ads,BR,1.0
277,41.27,16,9,1,Android,Organic,DE,1.78
278,25.27,6,11,0,iOS,Referral,US,0.55
279,21.02,7,10,1,iOS,Paid Ads,DE,0.7
280,15.07,10,12,1,Android,Organic,US,0.83
281,7.12,10,7,1,iOS,Paid Ads,BR,1.43
282,8.68,11,11,0,Android,Referral,BR,1.0
283,4.22,14,9,0,Android,Organic,US,1.56
284,9.64,13,8,1,Android,Organic,IN,1.62
285,6.24,10,8,0,iOS,Organic,FR,1.25
286,49.31,7,14,0,Android,Referral,DE,0.5
287,30.84,9,10,0,Android,Referral,DE,0.9
288,17.69,7,9,0,Android,Referral,DE,0.78
289,7.84,12,12,0,Desktop,Organic,BR,1.0
290,6.54,7,10,0,Android,Referral,DE,0.7
291,14.33,13,15,0,iOS,Paid Ads,FR,0.87
292,31.71,9,10,1,iOS,Referral,FR,0.9
293,4.35,6,17,0,iOS,Organic,US,0.35
294,25.04,9,11,1,Desktop,Paid Ads,BR,0.82
295,9.6,11,12,0,Android,Referral,FR,0.92
296,11.14,9,16,1,Android,Paid Ads,IN,0.56
297,17.3,9,15,0,Desktop,Paid Ads,BR,0.6
298,8.08,5,13,1,Android,Organic,BR,0.38
299,13.77,10,14,0,iOS,Paid Ads,FR,0.71
300,7.48,4,14,1,iOS,Paid Ads,IN,0.29
301,10.27,11,7,0,iOS,Organic,US,1.57
302,28.44,11,14,1,Desktop,Organic,FR,0.79
303,17.98,13,8,1,Desktop,Organic,IN,1.62
304,28.37,13,17,0,iOS,Paid Ads,BR,0.76
305,9.49,4,10,0,Android,Paid Ads,IN,0.4
306,25.17,8,9,1,Desktop,Paid Ads,BR,0.89
307,3.25,10,13,0,Android,Organic,FR,0.77
308,17.3,6,5,1,Android,Referral,FR,1.2
309,26.34,9,9,0,Desktop,Paid Ads,DE,1.0
310,3.1,7,13,0,Android,Referral,DE,0.54
311,9.59,16,11,1,Android,Organic,DE,1.45
312,17.29,9,14,0,Android,Paid Ads,FR,0.64
313,33.33,13,8,1,Desktop,Referral,US,1.62
314,10.27,9,11,0,iOS,Paid Ads,FR,0.82
315,24.48,9,13,0,iOS,Paid Ads,IN,0.69
316,43.06,11,7,0,Android,Paid Ads,FR,1.57
317,25.28,9,7,0,iOS,Referral,FR,1.29
318,14.18,14,8,0,iOS,Organic,BR,1.75
319,21.93,10,9,0,Android,Paid Ads,BR,1.11
320,10.02,16,17,0,Android,Organic,BR,0.94
321,17.81,9,12,0,Android,Organic,FR,0.75
322,14.74,14,13,1,Desktop,Referral,US,1.08
323,21.42,13,14,0,iOS,Referral,IN,0.93
324,11.89,10,12,0,Desktop,Organic,IN,0.83
325,22.3,10,12,0,Android,Paid Ads,US,0.83
326,11.8,12,15,0,iOS,Referral,US,0.8
327,30.63,6,17,1,iOS,Paid Ads,IN,0.35
328,12.8,6,6,0,iOS,Paid Ads,DE,1.0
329,1.77,4,9,0,Desktop,Paid Ads,BR,0.44
330,6.75,8,17,0,Android,Organic,BR,0.47
331,16.91,7,6,0,Android,Paid Ads,IN,1.17
332,49.03,13,15,1,iOS,Organic,US,0.87
333,29.83,13,10,0,iOS,Organic,DE,1.3
334,1.32,10,10,1,iOS,Paid Ads,IN,1.0
335,3.94,6,5,0,Android,Paid Ads,BR,1.2
336,36.22,9,12,0,iOS,Paid Ads,FR,0.75
337,26.24,15,14,1,Android,Paid Ads,US,1.07
338,66.53,7,14,0,Android,Organic,FR,0.5
339,11.41,11,15,0,iOS,Paid Ads,IN,0.73
340,7.93,11,13,0,iOS,Paid Ads,BR,0.85
341,17.61,8,12,0,Android,Organic,DE,0.67
342,11.23,6,14,0,Android,Referral,FR,0.43
343,33.97,11,15,0,Android,Referral,DE,0.73
344,10.91,12,15,0,Android,Organic,BR,0.8
345,13.42,12,13,0,iOS,Referral,FR,0.92
346,6.96,5,8,0,Desktop,Organic,DE,0.62
347,28.47,10,14,0,Android,Paid Ads,DE,0.71
348,7.37,12,9,0,iOS,Paid Ads,FR,1.33
349,22.59,9,9,0,Desktop,Referral,BR,1.0
350,54.53,10,11,1,Desktop,Paid Ads,DE,0.91
351,2.64,10,12,0,Android,Referral,IN,0.83
352,44.4,10,6,1,Desktop,Referral,FR,1.67
353,20.55,13,11,0,Android,Paid Ads,US,1.18
354,5.95,7,9,0,Android,Paid Ads,US,0.78
355,18.12,8,13,0,Android,Referral,BR,0.62
356,27.9,10,9,0,Android,Paid Ads,IN,1.11
357,8.4,14,14,0,Android,Organic,DE,1.0
358,23.52,13,13,0,Android,Paid Ads,US,1.0
359,46.86,4,8,0,Android,Paid Ads,BR,0.5
360,10.9,15,14,1,Desktop,Organic,IN,1.07
361,6.88,10,11,0,Desktop,Paid Ads,IN,0.91
362,15.09,11,9,0,Android,Paid Ads,BR,1.22
363,17.4,9,17,1,Desktop,Referral,BR,0.53
364,35.16,18,13,0,Desktop,Paid Ads,DE,1.38
365,14.71,10,14,0,iOS,Paid Ads,BR,0.71
366,11.74,13,10,0,Android,Organic,DE,1.3
367,6.72,11,16,1,iOS,Referral,DE,0.69
368,3.13,9,13,1,Desktop,Referral,FR,0.69
369,4.94,10,10,0,iOS,Referral,IN,1.0
370,4.91,8,7,0,Android,Paid Ads,IN,1.14
371,13.53,15,10,1,iOS,Referral,IN,1.5
372,3.82,7,13,0,iOS,Organic,FR,0.54
373,15.98,6,14,0,iOS,Referral,DE,0.43
374,53.75,11,13,0,Android,Organic,DE,0.85
375,35.85,14,13,0,Android,Referral,BR,1.08
376,13.43,12,13,0,Desktop,Referral,FR,0.92
377,76.85,9,13,0,Desktop,Organic,BR,0.69
378,17.44,10,11,0,Android,Referral,FR,0.91
379,19.36,15,11,0,Desktop,Referral,BR,1.36
380,14.87,12,18,1,Android,Referral,US,0.67
381,16.25,10,12,0,iOS,Paid Ads,IN,0.83
382,10.59,8,14,0,iOS,Organic,IN,0.57
383,13.59,13,5,0,Desktop,Referral,DE,2.6
384,44.6,9,14,0,Desktop,Organic,US,0.64
385,38.48,13,11,0,Android,Organic,IN,1.18
386,1.67,13,8,0,Desktop,Organic,DE,1.62
387,4.3,7,14,1,Android,Referral,US,0.5
388,8.51,8,14,1,iOS,Referral,IN,0.57
389,31.9,12,8,0,iOS,Organic,BR,1.5
390,39.06,11,13,0,iOS,Paid Ads,FR,0.85
391,27.83,14,14,0,Android,Organic,US,1.0
392,5.93,6,8,1,Desktop,Paid Ads,DE,0.75
393,10.77,8,15,1,Android,Organic,US,0.53
394,23.82,4,12,0,Android,Organic,DE,0.33
395,13.75,14,11,0,iOS,Organic,US,1.27
396,12.28,14,13,1,Android,Referral,DE,1.08
397,12.43,11,18,0,Desktop,Paid Ads,IN,0.61
398,36.56,10,13,0,Android,Paid Ads,BR,0.77
399,25.56,7,4,0,Android,Organic,IN,1.75
400,12.98,8,11,0,Desktop,Referral,BR,0.73
401,21.24,12,17,1,iOS,Referral,IN,0.71
402,5.17,15,9,1,Android,Paid Ads,IN,1.67
403,10.79,11,17,0,iOS,Referral,US,0.65
404,34.21,9,15,0,iOS,Paid Ads,FR,0.6
405,3.57,14,12,0,iOS,Paid Ads,DE,1.17
406,25.78,5,5,0,Android,Paid Ads,DE,1.0
407,1.65,15,19,0,Desktop,Referral,DE,0.79
408,49.56,14,11,0,Desktop,Paid Ads,BR,1.27
409,10.58,15,9,0,iOS,Paid Ads,DE,1.67
410,22.37,13,12,0,Android,Organic,DE,1.08
411,18.19,8,7,0,Desktop,Paid Ads,US,1.14
412,18.68,8,11,0,iOS,Paid Ads,IN,0.73
413,20.96,10,15,0,iOS,Organic,DE,0.67
414,2.9,7,10,0,Android,Organic,FR,0.7
415,18.97,10,7,1,Desktop,Referral,DE,1.43
416,14.4,11,10,0,iOS,Paid Ads,BR,1.1
417,10.62,8,5,0,Android,Referral,BR,1.6
418,8.5,7,16,1,Android,Referral,BR,0.44
419,19.33,7,10,1,Desktop,Organic,DE,0.7
420,6.96,10,8,0,Android,Referral,US,1.25
421,33.8,5,12,1,Desktop,Paid Ads,FR,0.42
422,23.54,15,13,0,iOS,Organic,DE,1.15
423,20.2,11,7,0,iOS,Paid Ads,US,1.57
424,32.84,9,12,0,Android,Paid Ads,US,0.75
425,2.41,9,13,0,Android,Organic,DE,0.69
426,5.0,9,12,0,Desktop,Paid Ads,DE,0.75
427,24.28,11,12,0,Android,Organic,US,0.92
428,8.94,12,16,0,iOS,Paid Ads,US,0.75
429,9.95,10,11,0,Android,Organic,US,0.91
430,4.3,9,14,0,Android,Referral,DE,0.64
431,6.98,11,14,0,Android,Paid Ads,US,0.79
432,34.31,10,16,0,iOS,Organic,BR,0.62
433,23.88,4,12,1,Desktop,Paid Ads,DE,0.33
434,19.17,9,11,1,Android,Paid Ads,BR,0.82
435,10.29,3,12,1,Android,Paid Ads,IN,0.25
436,18.29,8,12,0,Android,Organic,DE,0.67
437,36.34,7,16,1,iOS,Referral,IN,0.44
438,9.14,8,16,0,Android,Referral,US,0.5
439,16.22,10,10,0,Desktop,Referral,US,1.0
440,51.57,2,15,0,iOS,Organic,FR,0.13
441,27.58,8,8,0,iOS,Referral,US,1.0
442,10.41,11,13,0,Android,Organic,IN,0.85
443,26.05,9,13,0,Desktop,Paid Ads,US,0.69
444,3.5,11,12,1,Android,Paid Ads,DE,0.92
445,15.72,8,14,0,Android,Referral,US,0.57
446,26.03,14,13,0,iOS,Organic,FR,1.08
447,22.07,6,9,1,iOS,Paid Ads,US,0.67
448,25.86,9,10,0,Android,Organic,IN,0.9
449,29.92,9,8,0,Android,Organic,IN,1.12
450,23.33,12,15,0,iOS,Paid Ads,US,0.8
451,22.85,8,6,0,Android,Organic,IN,1.33
452,19.49,17,8,0,Desktop,Paid Ads,IN,2.12
453,6.24,3,9,0,iOS,Paid Ads,FR,0.33
454,34.3,4,17,0,Android,Paid Ads,DE,0.24
455,16.16,12,9,0,Android,Organic,FR,1.33
456,27.1,9,13,0,Android,Paid Ads,BR,0.69
457,31.95,9,8,0,iOS,Organic,FR,1.12
458,10.85,9,10,0,iOS,Paid Ads,US,0.9
459,11.66,4,9,1,Android,Paid Ads,DE,0.44
460,12.99,12,18,0,iOS,Referral,US,0.67
461,38.7,9,12,0,Desktop,Referral,BR,0.75
462,7.58,15,8,0,Android,Referral,DE,1.88
463,43.2,14,11,0,Desktop,Organic,IN,1.27
464,19.34,6,11,0,Android,Organic,FR,0.55
465,20.36,4,8,0,Android,Paid Ads,US,0.5
466,30.99,6,9,1,Android,Paid Ads,BR,0.67
467,17.75,9,12,1,Android,Paid Ads,IN,0.75
468,34.55,10,18,0,Android,Paid Ads,FR,0.56
469,10.84,2,12,1,Android,Organic,IN,0.17
470,42.29,10,11,0,Desktop,Paid Ads,FR,0.91
471,11.55,12,8,0,Desktop,Paid Ads,DE,1.5
472,43.35,9,11,0,iOS,Referral,IN,0.82
473,11.81,8,7,0,Android,Paid Ads,IN,1.14
474,13.29,13,10,1,Android,Paid Ads,IN,1.3
475,6.77,9,11,0,Android,Paid Ads,DE,0.82
476,8.59,11,11,0,iOS,Organic,BR,1.0
477,16.22,11,9,1,Desktop,Referral,FR,1.22
478,19.88,12,11,0,Android,Paid Ads,IN,1.09
479,32.88,6,12,0,Android,Paid Ads,DE,0.5
480,14.05,8,9,0,iOS,Referral,BR,0.89
481,22.11,11,9,1,Android,Paid Ads,FR,1.22
482,18.91,4,14,1,Android,Organic,DE,0.29
483,23.87,8,9,0,iOS,Paid Ads,FR,0.89
484,9.71,11,21,0,iOS,Organic,IN,0.52
485,10.71,9,14,0,Android,Organic,BR,0.64
486,9.72,6,10,1,Android,Paid Ads,DE,0.6
487,37.21,18,6,0,Desktop,Referral,BR,3.0
488,42.55,2,9,0,Android,Organic,IN,0.22
489,10.33,9,8,1,Android,Referral,BR,1.12
490,10.51,10,18,0,Android,Paid Ads,BR,0.56
491,26.25,15,6,0,Android,Organic,US,2.5
492,45.69,17,13,0,Android,Paid Ads,BR,1.31
493,52.26,9,12,1,Desktop,Referral,FR,0.75
494,9.94,8,12,0,Android,Paid Ads,DE,0.67
495,12.15,6,5,0,Android,Paid Ads,US,1.2
496,20.64,10,9,0,iOS,Organic,DE,1.11
497,21.37,14,11,0,iOS,Paid Ads,DE,1.27
498,14.49,8,18,0,Desktop,Paid Ads,IN,0.44
499,8.34,7,14,0,Desktop,Paid Ads,IN,0.5
500,16.24,8,8,1,Android,Organic,US,1.0
